lucky_time,lucky_date,first_person,first_money,second_person,second_money,third_person,third_money,fourth_person,fourth_money,fifth_person,fifth_money,first_num,second_num,third_num,fourth_num,fifth_num,sixth_num,bonus_num,machine,manpower,P_GROUP,P_CATE,P_TITLE,P_WIDTH,P_HEIGHT,P_LINK,P_PAGE,
679,2015-12-05,5,2863005600,54,44182186,1829,1304450,91171,50000,1493041,5000,3,5,7,14,26,34,35,2,3,,,,0,0,,,
678,2015-11-28,6,2288490188,41,55816834,1855,1233688,93305,50000,1494095,5000,4,5,6,12,25,37,45,5,1,,,,0,0,,,
677,2015-11-21,8,1921114407,37,69229348,1701,1505871,79827,50000,1330115,5000,12,15,24,36,41,44,42,2,6,,,,0,0,,,
676,2015-11-14,8,1879726500,63,39782572,1665,1505287,83276,50000,1371921,5000,1,8,17,34,39,45,27,5,3,,,,0,0,,,
675,2015-11-07,4,3514549032,65,36046657,1806,1297361,88118,50000,1415830,5000,1,8,11,15,18,45,7,1,3,,,,0,0,,,
674,2015-10-31,8,1770565500,48,49182375,1846,1278849,89646,50000,1465031,5000,9,10,14,25,27,31,11,3,5,,,,0,0,,,
673,2015-10-24,10,1491453300,35,71021586,1864,1333560,88838,50000,1450769,5000,7,10,17,29,33,44,5,5,5,,,,0,0,,,
672,2015-10-17,9,1754745000,46,57219946,1629,1615788,80167,50000,1341175,5000,8,21,28,31,36,45,43,6,3,,,,0,0,,,
671,2015-10-10,4,3722322844,48,51698929,1778,1395697,90364,50000,1519963,5000,7,9,10,13,31,35,24,2,2,,,,0,0,,,
670,2015-10-03,12,1191725219,39,61114114,2145,1111166,92680,50000,1483948,5000,11,18,26,27,40,41,25,7,5,,,,0,0,,,
669,2015-09-26,6,2708173188,52,52080254,1949,1389520,93078,50000,1531364,5000,7,8,20,29,33,38,9,4,2,,,,0,0,,,
668,2015-09-19,5,2991158625,56,44511290,1873,1330824,89414,50000,1452289,5000,12,14,15,24,27,32,3,2,3,,,,0,0,,,
667,2015-09-12,7,2228764393,40,65005629,1543,1685176,81344,50000,1368363,5000,15,17,25,37,42,43,13,7,0,,,,0,0,,,
666,2015-09-05,6,2396901063,47,50997895,1947,1231074,93631,50000,1493940,5000,2,4,6,11,17,28,16,1,5,,,,0,0,,,
665,2015-08-29,4,3643230375,30,80960675,1790,1356883,87227,50000,1430205,5000,5,6,11,17,38,44,13,2,2,,,,0,0,,,
664,2015-08-22,10,1536801338,44,58212172,1530,1674076,77395,50000,1320082,5000,10,20,33,36,41,44,5,7,3,,,,0,0,,,
663,2015-08-15,7,2080244143,60,40449192,1627,1491673,84092,50000,1386028,5000,3,5,8,19,38,42,20,5,2,,,,0,0,,,
662,2015-08-08,8,1689733688,43,52394844,1787,1260761,88493,50000,1426759,5000,5,6,9,11,15,37,26,6,2,,,,0,0,,,
661,2015-08-01,8,1713025547,63,36254509,1830,1248107,87840,50000,1426883,5000,2,3,12,20,27,38,40,5,3,,,,0,0,,,
660,2015-07-25,10,1421272575,48,49349743,1951,1214141,88247,50000,1408802,5000,4,9,23,33,39,44,14,6,4,,,,0,0,,,
659,2015-07-18,11,1336604216,40,61261027,1765,1388352,85028,50000,1396789,5000,7,18,19,27,29,42,45,7,4,,,,0,0,,,
658,2015-07-11,9,1634031375,38,64501239,1678,1460696,82738,50000,1364069,5000,8,19,25,28,32,36,37,7,2,,,,0,0,,,
657,2015-07-04,9,1694762792,52,48887389,1562,1627494,78396,50000,1325593,5000,10,14,19,39,40,43,23,5,4,,,,0,0,,,
656,2015-06-27,2,7330002750,48,50902797,1747,1398589,83772,50000,1385757,5000,3,7,14,16,31,40,39,2,0,,,,0,0,,,
655,2015-06-20,9,1661439625,41,60784377,1610,1547926,77437,50000,1281655,5000,7,37,38,39,40,44,18,7,2,,,,0,0,,,
654,2015-06-13,8,1879301391,69,36315003,1787,1402203,77788,50000,1282725,5000,16,21,26,31,36,43,6,6,2,,,,0,0,,,
653,2015-06-06,14,980958670,56,40873278,1997,1146172,88995,50000,1419408,5000,5,6,26,27,38,39,1,5,9,,,,0,0,,,
652,2015-05-30,5,3003483525,36,69525082,1504,1664165,75739,50000,1280663,5000,3,13,15,40,41,44,20,1,4,,,,0,0,,,
651,2015-05-23,8,1855306454,35,70678342,1684,1468968,82567,50000,1365832,5000,11,12,16,26,29,44,18,7,1,,,,0,0,,,
650,2015-05-16,5,2849298900,45,52764795,1814,1308940,87030,50000,1429743,5000,3,4,7,11,31,41,35,3,2,,,,0,0,,,
649,2015-05-09,5,2948042100,45,54593373,1689,1454531,80347,50000,1313125,5000,3,21,22,33,41,42,20,5,0,,,,0,0,,,
648,2015-05-02,7,2120987947,45,54988577,1631,1517159,80986,50000,1318403,5000,13,19,28,37,38,43,4,5,2,,,,0,0,,,
647,2015-04-25,7,2189725608,44,58060907,1596,1600677,79202,50000,1351926,5000,5,16,21,23,24,30,29,6,1,,,,0,0,,,
646,2015-04-18,7,2215498393,36,71798560,1522,1698258,77400,50000,1321212,5000,2,9,24,41,43,45,30,6,1,,,,0,0,,,
